customer_id,Age,Gender,Category,Location,Season,Purchase Amount (USD),Previous Purchases,Review Rating,has_review,Subscription Status,is_subscriber,Discount Applied,discount_used,Payment Method,Shipping Type,Frequency of Purchases,frequency_score,engagement_score,loyalty_A,value_score,loyalty_B,discount_dependency_flag,satisfied_flag
1,55,Male,Clothing,Kentucky,Winter,53,14,3.1,1,Yes,1,Yes,1,Venmo,Express,Fortnightly,5,0.8,High Engagement,0.33890306122448977,Low Value,1,0
2,19,Male,Clothing,Maine,Winter,64,2,3.1,1,Yes,1,Yes,1,Cash,Express,Fortnightly,5,0.8,High Engagement,0.2852040816326531,Low Value,1,0
3,50,Male,Clothing,Massachusetts,Spring,73,23,3.1,1,Yes,1,Yes,1,Credit Card,Free Shipping,Weekly,7,1.0,High Engagement,0.5557397959183673,Mid Value,1,0
4,21,Male,Footwear,Rhode Island,Spring,90,49,3.5,1,Yes,1,Yes,1,PayPal,Next Day Air,Weekly,7,1.0,High Engagement,0.9272959183673469,High Value,1,0
5,45,Male,Clothing,Oregon,Spring,49,31,2.7,1,Yes,1,Yes,1,PayPal,Free Shipping,Annually,1,0.4,Medium Engagement,0.48737244897959187,Mid Value,1,0
6,46,Male,Footwear,Wyoming,Summer,20,14,2.9,1,Yes,1,Yes,1,Venmo,Standard,Weekly,7,1.0,High Engagement,0.1326530612244898,Low Value,1,0
7,63,Male,Clothing,Montana,Fall,85,49,3.2,1,Yes,1,Yes,1,Cash,Free Shipping,Quarterly,3,0.6,Medium Engagement,0.8960459183673469,High Value,1,0
8,27,Male,Clothing,Louisiana,Winter,34,19,3.2,1,Yes,1,Yes,1,Credit Card,Free Shipping,Weekly,7,1.0,High Engagement,0.2711734693877551,Low Value,1,0
9,26,Male,Outerwear,West Virginia,Summer,97,8,2.6,1,Yes,1,Yes,1,Venmo,Express,Annually,1,0.4,Medium Engagement,0.5526785714285715,Mid Value,1,0
10,57,Male,Accessories,Missouri,Spring,31,4,4.8,1,Yes,1,Yes,1,Cash,2-Day Shipping,Quarterly,3,0.6,Medium Engagement,0.0993622448979592,Low Value,1,1
11,53,Male,Footwear,Arkansas,Fall,34,26,4.1,1,Yes,1,Yes,1,Bank Transfer,Store Pickup,Bi-Weekly,6,0.9,High Engagement,0.3426020408163265,Low Value,1,1
12,30,Male,Clothing,Hawaii,Winter,68,10,4.9,1,Yes,1,Yes,1,Bank Transfer,Store Pickup,Fortnightly,5,0.8,High Engagement,0.39183673469387753,Low Value,1,1
13,61,Male,Outerwear,Delaware,Winter,72,37,4.5,1,Yes,1,Yes,1,Venmo,Express,Fortnightly,5,0.8,High Engagement,0.6923469387755102,High Value,1,1
14,65,Male,Clothing,New Hampshire,Spring,51,31,4.7,1,Yes,1,Yes,1,PayPal,Express,Weekly,7,1.0,High Engagement,0.4998724489795918,Mid Value,1,1
15,64,Male,Outerwear,New York,Winter,53,34,4.7,1,Yes,1,Yes,1,Debit Card,Free Shipping,Weekly,7,1.0,High Engagement,0.542984693877551,Mid Value,1,1
16,64,Male,Clothing,Rhode Island,Winter,81,8,2.8,1,Yes,1,Yes,1,PayPal,Store Pickup,Monthly,4,0.7,High Engagement,0.4526785714285714,Mid Value,1,0
17,25,Male,Accessories,Alabama,Spring,36,44,4.1,1,Yes,1,Yes,1,Debit Card,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.5387755102040817,Mid Value,1,1
18,53,Male,Clothing,Mississippi,Winter,38,36,4.7,1,Yes,1,Yes,1,Venmo,2-Day Shipping,Quarterly,3,0.6,Medium Engagement,0.46964285714285714,Mid Value,1,1
19,52,Male,Clothing,Montana,Summer,48,17,4.6,1,Yes,1,Yes,1,Cash,Free Shipping,Weekly,7,1.0,High Engagement,0.338265306122449,Low Value,1,1
20,66,Male,Clothing,Rhode Island,Summer,90,46,3.3,1,Yes,1,Yes,1,Debit Card,Standard,Bi-Weekly,6,0.9,High Engagement,0.8966836734693877,High Value,1,0
21,21,Male,Clothing,Louisiana,Winter,51,50,2.8,1,Yes,1,Yes,1,Cash,Express,Every 3 Months,3,0.6,Medium Engagement,0.69375,High Value,1,0
22,31,Male,Clothing,North Carolina,Winter,62,22,4.1,1,Yes,1,Yes,1,Debit Card,Store Pickup,Quarterly,3,0.6,Medium Engagement,0.47678571428571426,Mid Value,1,1
23,56,Male,Clothing,California,Summer,37,32,3.2,1,Yes,1,Yes,1,Debit Card,Store Pickup,Annually,1,0.4,Medium Engagement,0.4225765306122449,Mid Value,1,0
24,31,Male,Clothing,Oklahoma,Winter,88,40,4.4,1,Yes,1,Yes,1,Credit Card,Express,Weekly,7,1.0,High Engagement,0.8229591836734693,High Value,1,1
25,18,Male,Outerwear,Florida,Fall,22,16,2.9,1,Yes,1,Yes,1,Debit Card,Store Pickup,Weekly,7,1.0,High Engagement,0.16556122448979593,Low Value,1,0
26,18,Male,Clothing,Texas,Summer,25,14,3.6,1,Yes,1,Yes,1,PayPal,Express,Annually,1,0.4,Medium Engagement,0.1639030612244898,Low Value,1,0
27,38,Male,Accessories,Nevada,Spring,20,13,3.6,1,Yes,1,Yes,1,Credit Card,Next Day Air,Annually,1,0.4,Medium Engagement,0.12244897959183673,Low Value,1,0
28,56,Male,Clothing,Kentucky,Summer,56,7,5.0,1,Yes,1,Yes,1,Bank Transfer,Next Day Air,Every 3 Months,3,0.6,Medium Engagement,0.28622448979591836,Low Value,1,1
29,54,Male,Accessories,North Carolina,Fall,94,41,4.4,1,Yes,1,Yes,1,PayPal,Free Shipping,Every 3 Months,3,0.6,Medium Engagement,0.8706632653061225,High Value,1,1
30,31,Male,Clothing,Wyoming,Fall,48,14,4.1,1,Yes,1,Yes,1,Credit Card,Store Pickup,Weekly,7,1.0,High Engagement,0.30765306122448977,Low Value,1,1
31,57,Male,Accessories,North Carolina,Winter,31,16,4.7,1,Yes,1,Yes,1,Credit Card,Standard,Monthly,4,0.7,High Engagement,0.22181122448979593,Low Value,1,1
32,33,Male,Clothing,West Virginia,Winter,79,45,4.7,1,Yes,1,Yes,1,Venmo,Store Pickup,Monthly,4,0.7,High Engagement,0.8177295918367347,High Value,1,1
33,36,Male,Outerwear,Kansas,Summer,67,37,4.9,1,Yes,1,Yes,1,Venmo,Free Shipping,Annually,1,0.4,Medium Engagement,0.6610969387755102,High Value,1,1
34,54,Male,Clothing,Colorado,Summer,38,45,3.3,1,Yes,1,Yes,1,Cash,Store Pickup,Quarterly,3,0.6,Medium Engagement,0.5614795918367347,Mid Value,1,0
35,36,Male,Clothing,North Dakota,Spring,91,38,4.6,1,Yes,1,Yes,1,PayPal,2-Day Shipping,Quarterly,3,0.6,Medium Engagement,0.8213010204081632,High Value,1,1
36,54,Male,Clothing,Massachusetts,Summer,33,48,4.0,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Bi-Weekly,6,0.9,High Engagement,0.5608418367346939,Mid Value,1,1
37,35,Male,Clothing,Illinois,Winter,69,44,4.6,1,Yes,1,Yes,1,PayPal,Free Shipping,Fortnightly,5,0.8,High Engagement,0.7450255102040817,High Value,1,1
38,35,Male,Clothing,Indiana,Summer,45,10,2.8,1,Yes,1,Yes,1,PayPal,Store Pickup,Weekly,7,1.0,High Engagement,0.24808673469387754,Low Value,1,0
39,29,Male,Clothing,Florida,Winter,37,44,3.8,0,Yes,1,Yes,1,Venmo,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.5450255102040816,Mid Value,1,0
40,70,Male,Clothing,Arizona,Summer,60,18,4.2,1,Yes,1,Yes,1,Credit Card,Express,Monthly,4,0.7,High Engagement,0.423469387755102,Mid Value,1,1
41,69,Male,Accessories,Louisiana,Winter,76,31,4.6,1,Yes,1,Yes,1,Debit Card,Next Day Air,Quarterly,3,0.6,Medium Engagement,0.6561224489795918,High Value,1,1
42,67,Male,Accessories,Alaska,Spring,39,40,4.5,1,Yes,1,Yes,1,Venmo,Standard,Annually,1,0.4,Medium Engagement,0.5167091836734694,Mid Value,1,1
43,20,Male,Outerwear,Tennessee,Spring,100,15,4.1,1,Yes,1,Yes,1,PayPal,Free Shipping,Annually,1,0.4,Medium Engagement,0.6428571428571428,High Value,1,1
44,25,Male,Accessories,Ohio,Fall,69,19,3.7,1,Yes,1,Yes,1,PayPal,Store Pickup,Fortnightly,5,0.8,High Engagement,0.4899234693877551,Mid Value,1,0
45,39,Male,Accessories,Kentucky,Summer,53,45,4.6,1,Yes,1,Yes,1,PayPal,Free Shipping,Weekly,7,1.0,High Engagement,0.6552295918367347,High Value,1,1
46,50,Male,Clothing,Tennessee,Fall,21,25,2.9,1,Yes,1,Yes,1,PayPal,2-Day Shipping,Annually,1,0.4,Medium Engagement,0.25114795918367344,Low Value,1,0
47,57,Male,Clothing,California,Summer,43,45,2.9,1,Yes,1,Yes,1,Cash,Store Pickup,Quarterly,3,0.6,Medium Engagement,0.5927295918367347,High Value,1,0
48,55,Male,Accessories,Montana,Winter,54,36,4.5,1,Yes,1,Yes,1,Cash,Free Shipping,Weekly,7,1.0,High Engagement,0.5696428571428571,Mid Value,1,1
49,42,Male,Clothing,Nevada,Summer,55,38,2.7,1,Yes,1,Yes,1,Cash,Store Pickup,Monthly,4,0.7,High Engagement,0.5963010204081632,High Value,1,0
50,68,Male,Clothing,New Jersey,Spring,30,34,4.6,1,Yes,1,Yes,1,Debit Card,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.399234693877551,Low Value,1,1
51,49,Male,Clothing,Maryland,Spring,28,39,3.8,0,Yes,1,Yes,1,Debit Card,Store Pickup,Bi-Weekly,6,0.9,High Engagement,0.4377551020408163,Mid Value,1,0
52,59,Male,Clothing,Vermont,Winter,59,7,4.7,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Quarterly,3,0.6,Medium Engagement,0.30497448979591835,Low Value,1,1
53,42,Male,Clothing,Alaska,Summer,20,26,2.6,1,Yes,1,Yes,1,Credit Card,Free Shipping,Weekly,7,1.0,High Engagement,0.25510204081632654,Low Value,1,0
54,29,Male,Clothing,Mississippi,Winter,24,35,3.9,1,Yes,1,Yes,1,Credit Card,Next Day Air,Weekly,7,1.0,High Engagement,0.3719387755102041,Low Value,1,0
55,47,Male,Outerwear,New Mexico,Summer,94,35,4.2,1,Yes,1,Yes,1,Debit Card,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.8094387755102042,High Value,1,1
56,40,Male,Outerwear,South Carolina,Winter,28,49,3.0,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Annually,1,0.4,Medium Engagement,0.539795918367347,Mid Value,1,0
57,41,Male,Accessories,Mississippi,Summer,73,46,4.7,1,Yes,1,Yes,1,Credit Card,Store Pickup,Weekly,7,1.0,High Engagement,0.7904336734693878,High Value,1,1
58,21,Male,Outerwear,West Virginia,Summer,64,17,4.4,1,Yes,1,Yes,1,Debit Card,Store Pickup,Fortnightly,5,0.8,High Engagement,0.43826530612244896,Mid Value,1,1
59,69,Male,Clothing,Missouri,Summer,54,29,4.2,1,Yes,1,Yes,1,Venmo,Free Shipping,Monthly,4,0.7,High Engagement,0.4982142857142857,Mid Value,1,1
60,63,Male,Accessories,Louisiana,Spring,79,4,4.6,1,Yes,1,Yes,1,Debit Card,Standard,Weekly,7,1.0,High Engagement,0.3993622448979592,Low Value,1,1
61,50,Male,Clothing,Idaho,Summer,37,17,4.0,1,Yes,1,Yes,1,Cash,Express,Weekly,7,1.0,High Engagement,0.26951530612244895,Low Value,1,1
62,55,Male,Accessories,Texas,Winter,68,21,4.7,1,Yes,1,Yes,1,Credit Card,Store Pickup,Every 3 Months,3,0.6,Medium Engagement,0.5040816326530613,Mid Value,1,1
63,30,Male,Footwear,Mississippi,Spring,21,31,3.8,1,Yes,1,Yes,1,Credit Card,Free Shipping,Fortnightly,5,0.8,High Engagement,0.3123724489795918,Low Value,1,0
64,33,Male,Accessories,Arizona,Winter,79,43,2.7,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Weekly,7,1.0,High Engagement,0.7973214285714285,High Value,1,0
65,65,Male,Footwear,Alabama,Fall,83,18,4.8,1,Yes,1,Yes,1,Debit Card,Standard,Fortnightly,5,0.8,High Engagement,0.5672193877551021,Mid Value,1,1
66,65,Male,Accessories,New Jersey,Spring,36,44,4.8,1,Yes,1,Yes,1,Venmo,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.5387755102040817,Mid Value,1,1
67,31,Male,Clothing,Pennsylvania,Winter,94,3,4.7,1,Yes,1,Yes,1,Venmo,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.48290816326530617,Mid Value,1,1
68,45,Male,Outerwear,Connecticut,Winter,33,49,4.4,1,Yes,1,Yes,1,Debit Card,Store Pickup,Monthly,4,0.7,High Engagement,0.571045918367347,Mid Value,1,1
69,57,Male,Accessories,Utah,Summer,46,21,3.9,1,Yes,1,Yes,1,Cash,Next Day Air,Every 3 Months,3,0.6,Medium Engagement,0.3665816326530612,Low Value,1,0
70,48,Male,Accessories,Tennessee,Summer,70,5,4.4,1,Yes,1,Yes,1,Cash,Express,Weekly,7,1.0,High Engagement,0.35331632653061223,Low Value,1,1
71,22,Male,Accessories,Alabama,Fall,29,32,4.2,1,Yes,1,Yes,1,Debit Card,Express,Every 3 Months,3,0.6,Medium Engagement,0.37257653061224494,Low Value,1,1
72,36,Male,Clothing,Virginia,Summer,48,34,2.9,1,Yes,1,Yes,1,Bank Transfer,Express,Annually,1,0.4,Medium Engagement,0.511734693877551,Mid Value,1,0
73,18,Male,Clothing,Georgia,Winter,26,21,2.9,1,Yes,1,Yes,1,Bank Transfer,Store Pickup,Every 3 Months,3,0.6,Medium Engagement,0.24158163265306123,Low Value,1,0
74,48,Male,Clothing,Hawaii,Spring,85,43,2.7,1,Yes,1,Yes,1,Bank Transfer,Free Shipping,Bi-Weekly,6,0.9,High Engagement,0.8348214285714286,High Value,1,0
75,49,Male,Accessories,Indiana,Spring,58,3,4.5,1,Yes,1,Yes,1,Cash,Express,Monthly,4,0.7,High Engagement,0.25790816326530613,Low Value,1,1
76,64,Male,Accessories,Utah,Summer,85,21,2.7,1,Yes,1,Yes,1,Credit Card,Free Shipping,Annually,1,0.4,Medium Engagement,0.6103316326530612,High Value,1,0
77,50,Male,Accessories,Delaware,Summer,43,32,4.2,1,Yes,1,Yes,1,Venmo,Free Shipping,Monthly,4,0.7,High Engagement,0.4600765306122449,Mid Value,1,1
